        No.      Enthalpy            0.1    Density Formula unit     Volume
   1 ( 964)      -6.46291       Pnma(62)    0.07632            4    157.239
   2 ( 942)      -6.45223       Cmcm(63)    0.07604            4    157.809
   4 (1118)      -6.44849         P-1(2)    0.07346            4    163.365
   6 ( 738)      -6.42653     P2_1/c(14)    0.07327            4    163.776
   8 ( 617)      -6.41339      P31m(157)    0.08259            4    145.293
   9 ( 252)      -6.40355          P1(1)    0.07925            4    151.414
  11 ( 421)      -6.40121         P-1(2)    0.07642            4    157.033
  12 ( 882)      -6.39192       Pmma(51)    0.08543            2     70.234
  18 ( 949)      -6.38666     Cmc2_1(36)    0.07641            8    314.097
  24 (1283)      -6.37027     P2_1/c(14)    0.07184            4    167.046
  26 (1354)      -6.36823     P2_1/m(11)    0.08082            4    148.480
  28 ( 314)      -6.36677          P1(1)    0.07789            4    154.072
  30 ( 481)      -6.35404         P-1(2)    0.07340            4    163.491
  31 (1060)      -6.35306          P1(1)    0.07825            4    153.358
  32 (1403)      -6.34942          P1(1)    0.07677            4    156.309
  36 (1280)      -6.34402       C2/c(15)    0.08336            8    287.913
  37 (1233)      -6.34115          P1(1)    0.07421            4    161.706
  39 ( 547)      -6.33777         P-1(2)    0.07208            4    166.474
  43 (1180)      -6.33317          P1(1)    0.08179            4    146.725
  44 (1230)      -6.33294       Cmmm(65)    0.08666            2     69.233
  52 ( 773)      -6.32713          P1(1)    0.07806            4    153.723
  53 (1353)      -6.32660         P-1(2)    0.07828            4    153.293
  57 (1116)      -6.32415     P2_1/c(14)    0.07517            4    159.637
