        No.      Enthalpy            0.1  Prototype ID     Distance  Formula unit
   1 ( 964)      -6.46291       Pnma(62)             1   0.0000e+00             4
   3 (1277)      -6.45209       Pnma(62)             1   9.5878e-03             4
   5 ( 932)      -6.42945       Pnma(62)             1   5.9166e-02             4

   2 ( 942)      -6.45223       Cmcm(63)             2   0.0000e+00             4

   4 (1118)      -6.44849         P-1(2)             4   0.0000e+00             4
  10 (1034)      -6.40172         P-1(2)             4   7.3820e-02             4

   6 ( 738)      -6.42653     P2_1/c(14)             6   0.0000e+00             4
   7 ( 380)      -6.42610     P2_1/c(14)             6   6.6324e-03             4

   8 ( 617)      -6.41339      P31m(157)             8   0.0000e+00             4
  21 (1270)      -6.37955      P31m(157)             8   1.3382e-02             4
  22 ( 344)      -6.37623      P31m(157)             8   1.7280e-02             4
  23 (  97)      -6.37559      P31m(157)             8   1.6649e-02             4

   9 ( 252)      -6.40355          P1(1)             9   0.0000e+00             4
  27 ( 185)      -6.36742          P1(1)             9   7.4548e-02             4

  11 ( 421)      -6.40121         P-1(2)            11   0.0000e+00             4

  12 ( 882)      -6.39192       Pmma(51)            12   0.0000e+00             2
  13 (1389)      -6.39097       Pmma(51)            12   2.0138e-05             2
  14 ( 546)      -6.39073       Pmma(51)            12   2.4854e-05             2
  15 ( 920)      -6.39059       Pmma(51)            12   2.8355e-05             2
  16 ( 133)      -6.39020       Pmma(51)            12   1.9517e-04             2
  17 ( 596)      -6.38997       Pmma(51)            12   8.8302e-05             2
  19 (1386)      -6.38101       Pmma(51)            12   6.9798e-02             2
  20 (1414)      -6.38054       Pmma(51)            12   2.3804e-03             2

  18 ( 949)      -6.38666     Cmc2_1(36)            18   0.0000e+00             8

  24 (1283)      -6.37027     P2_1/c(14)            24   0.0000e+00             4
  25 ( 214)      -6.37008     P2_1/c(14)            24   5.0192e-04             4

  26 (1354)      -6.36823     P2_1/m(11)            26   0.0000e+00             4

  28 ( 314)      -6.36677          P1(1)            28   0.0000e+00             4
  29 (1176)      -6.36125          P1(1)            28   4.2699e-03             4
  34 (1038)      -6.34602          P1(1)            28   3.6753e-02             4
  41 ( 789)      -6.33680          P1(1)            28   6.6966e-02             4
  42 (1082)      -6.33473          P1(1)            28   6.6963e-02             4
  49 ( 961)      -6.33076          P1(1)            28   6.6212e-02             4
  51 ( 723)      -6.32833          P1(1)            28   6.9719e-02             4

  30 ( 481)      -6.35404         P-1(2)            30   0.0000e+00             4

  31 (1060)      -6.35306          P1(1)            31   0.0000e+00             4
  35 (1165)      -6.34471          P1(1)            31   4.6987e-02             4
  38 (1450)      -6.34079          P1(1)            31   6.9167e-02             4
  40 (1326)      -6.33776          P1(1)            31   7.0685e-02             4

  32 (1403)      -6.34942          P1(1)            32   0.0000e+00             4
  33 ( 727)      -6.34692          P1(1)            32   7.4564e-02             4
  48 (  69)      -6.33079          P1(1)            32   6.2454e-02             4
  56 (1303)      -6.32498          P1(1)            32   7.3160e-02             4

  36 (1280)      -6.34402       C2/c(15)            36   0.0000e+00             8

  37 (1233)      -6.34115          P1(1)            37   0.0000e+00             4

  39 ( 547)      -6.33777         P-1(2)            39   0.0000e+00             4

  43 (1180)      -6.33317          P1(1)            43   0.0000e+00             4
  45 ( 984)      -6.33189          P1(1)            43   6.8392e-02             4
  46 (1022)      -6.33174          P1(1)            43   2.4968e-03             4
  47 ( 673)      -6.33153          P1(1)            43   6.3434e-02             4
  50 ( 264)      -6.32846          P1(1)            43   6.7221e-02             4
  54 (1342)      -6.32622          P1(1)            43   5.0750e-02             4

  44 (1230)      -6.33294       Cmmm(65)            44   0.0000e+00             2

  52 ( 773)      -6.32713          P1(1)            52   0.0000e+00             4
  55 (1258)      -6.32601          P1(1)            52   7.4552e-02             4

  53 (1353)      -6.32660         P-1(2)            53   0.0000e+00             4

  57 (1116)      -6.32415     P2_1/c(14)            57   0.0000e+00             4

